t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2022-12-07,632942500.4,487099468.5,0.0001,211535662.2,,,,,,,
2022-12-08,634649969,483370663.3,0.0001,211980935.4,,,,,,,
2022-12-09,633944087.8,481175346.9,0.0001,211061191.3,,,,,,,
2022-12-10,634666475.4,480586934.4,0.0001,211325387.6,,,,,,,
2022-12-11,633699706.3,476298702.9,0.0001,211516623.6,,,,,,,
2022-12-12,634024834.6,478110903.4,0.0001,211656622.1,,,,,,,
2022-12-13,634093418.1,478241921.9,0.0001,211437627.3,,,,,,,
2022-12-14,633054045.2,478788265.4,0.0001,210708976.4,,,,,,,
2022-12-15,634106889.7,477766018.1,0.0001,211510708.8,,,,,,,
2022-12-16,634106839.7,476084715.6,0.0001,211675329.9,,,,,,,
2022-12-17,634648734.9,474844719.6,0.0001,210124646.9,,,,,,,
2022-12-18,634014720.2,474267562.9,0.0001,209977919,,,,,,,
2022-12-19,632981276.2,476933789.9,0.0001,210031465.3,,,,,,,
2022-12-20,633672285.4,475417369.6,0.0001,209023861.1,,,,,,,
2022-12-21,633449817.5,476460675.3,0.0001,208843817.3,,,,,,,
2022-12-22,634526314.8,477693790.7,0.0001,131152984.6,,,,,,,
2022-12-23,633593991.7,478807814.3,0.0001,131188795.8,,,,,,,
2022-12-24,639199305,476782645.2,0.0001,131090887.2,,,,,,,
2022-12-25,638367949.3,475655611.6,0.0001,131222460.4,,,,,,,
2022-12-26,638086290.3,479204920.1,0.0001,218683873.8,,,,,,,
2022-12-27,638749941.1,479158748.8,0.0001,218712505.5,,,,,,,
2022-12-28,638367949.3,478218018.6,0.0001,218490412.7,,,,,,,
2022-12-29,638835461.3,478259607,0.0001,218686447.9,,,,,,,
2022-12-30,639047677.6,480593149.9,0.0001,219850144,,,,,,,
2022-12-31,638374634.1,485181483.1,0.0001,219490944.1,,,,,,,
2023-01-01,638374634.1,486732362.8,0.0001,219742148.8,,,,,,,
2023-01-02,637856008.2,485620848.1,0.0001,219015215.3,,,,,,,
